id,dia,month,ano,descricao,fixo,situacaoentidade,importado
45,2,11,0,Dia de Finados,True,1,True
46,12,10,0,Dia de Nsa Sra Aparecida,True,1,True
47,15,10,2017,Dia do Professor ,False,2,True
48,28,10,2017,Dia do Servidor Público,False,2,True
49,7,9,0,Independência do Brasil,True,1,True
50,15,11,0,Proclamação da República,True,1,True
51,25,12,0,Natal,True,1,True
52,15,8,0,Adesão ao Império Brasileiro (PA),True,1,True
53,8,12,0,Nossa Senhora da Conceição,True,1,True
54,1,1,0,Ano Novo,True,1,True
55,21,4,0,Dia de Tiradentes,True,1,True
56,1,5,0,Dia do Trabalhador,True,1,True
57,12,1,0,Aniversário de Belém,True,2,True
58,15,6,2017,Corpus Christi (Belém),False,1,False
59,31,5,2018,Corpus Christi (Belém),False,1,False
60,20,6,2019,Corpus Christi (Belém),False,1,False
61,11,6,2020,Corpus Christi (Belém),False,1,False
62,3,6,2021,Corpus Christi (Belém),False,1,False
63,16,6,2022,Corpus Christi (Belém),False,1,False
64,8,6,2023,Corpus Christi (Belém),False,1,False
65,30,5,2024,Corpus Christi (Belém),False,1,False
66,19,6,2025,Corpus Christi (Belém),False,1,False
67,4,6,2026,Corpus Christi (Belém),False,1,False
68,27,5,2027,Corpus Christi (Belém),False,1,False
69,23,1,2018,Evento Teste de Sistema,False,2,False
70,28,2,2018,feriado teste de ponto,False,2,False
71,30,3,2018,Semana Santa,False,1,False
72,19,4,2019,Sexta Feira da Paixão,False,1,False
73,10,4,2020,Sexta Feira da Paixão,False,1,False
74,2,4,2021,Sexta Feira da Paixão,False,1,False
75,27,8,2021,falecimento mãe Hugo,False,1,False
76,15,4,2022,Sexta Feira da Paixão,False,1,False
77,7,4,2023,Sexta Feira da Paixão,False,1,False
78,20,11,0,Dia da Consciência Negra,True,1,False
