id,user,periodo,data_inicial,data_final,dias_uteis,cumpriu,cadastrado_em
67,50,2024,2024-01-02,2024-01-02,1,0,2024-05-27 18:05:51
35,9,2024,2024-01-02,2024-01-02,1,0,2024-05-27 18:05:51
8,11,2024,2024-01-08,2024-01-22,11,0,2024-05-27 18:05:51
52,10,2024,2024-01-12,2024-01-12,1,0,2024-05-27 18:05:51
24,38,2024,2024-01-15,2024-01-15,1,0,2024-05-27 18:05:51
36,9,2024,2024-01-18,2024-01-18,1,0,2024-05-27 18:05:51
28,56,2024,2024-01-22,2024-01-22,1,0,2024-05-27 18:05:51
43,47,2024,2024-01-25,2024-01-25,1,0,2024-05-27 18:05:51
30,56,2024,2024-01-25,2024-01-25,1,0,2024-05-27 18:05:51
62,2,2024,2024-01-26,2024-01-26,1,0,2024-05-27 18:05:51
54,11,2024,2024-01-26,2024-01-29,2,0,2024-05-27 18:05:51
63,2,2024,2024-01-31,2024-01-31,1,0,2024-05-27 18:05:51
29,56,2024,2024-01-31,2024-01-31,1,0,2024-05-27 18:05:51
17,4,2024,2024-01-31,2024-01-31,1,0,2024-05-27 18:05:51
25,38,2024,2024-02-08,2024-02-08,1,0,2024-05-27 18:05:51
68,50,2024,2024-02-12,2024-02-12,1,0,2024-05-27 18:05:51
64,2,2024,2024-02-12,2024-02-13,2,0,2024-05-27 18:05:51
55,11,2024,2024-02-12,2024-02-13,2,0,2024-05-27 18:05:51
37,9,2024,2024-02-12,2024-02-12,1,0,2024-05-27 18:05:51
18,4,2024,2024-02-12,2024-02-12,1,0,2024-05-27 18:05:51
7,13,2024,2024-02-12,2024-02-15,4,0,2024-05-27 18:05:51
69,50,2024,2024-02-13,2024-02-14,2,0,2024-05-27 18:05:51
53,10,2024,2024-02-13,2024-02-13,1,0,2024-05-27 18:05:51
38,9,2024,2024-02-13,2024-02-13,1,0,2024-05-27 18:05:51
26,38,2024,2024-02-14,2024-02-14,1,0,2024-05-27 18:05:51
20,4,2024,2024-02-15,2024-02-15,1,0,2024-05-27 18:05:51
27,38,2024,2024-02-20,2024-02-20,1,0,2024-05-27 18:05:51
13,3,2024,2024-02-27,2024-02-27,1,0,2024-05-27 18:05:51
31,56,2024,2024-02-28,2024-02-29,2,0,2024-05-27 18:05:51
14,3,2024,2024-02-29,2024-02-29,1,0,2024-05-27 18:05:51
70,50,2024,2024-03-04,2024-03-04,1,0,2024-05-27 18:05:51
21,4,2024,2024-03-04,2024-03-04,1,0,2024-05-27 18:05:51
10,58,2024,2024-03-14,2024-03-18,3,0,2024-05-27 18:05:51
34,38,2024,2024-03-19,2024-03-19,1,0,2024-05-27 18:05:51
12,50,2024,2024-03-27,2024-04-02,5,0,2024-05-27 18:05:51
19,4,2024,2024-03-28,2024-03-28,1,0,2024-05-27 18:05:51
57,10,2024,2024-04-01,2024-04-01,1,0,2024-05-27 18:05:51
42,3,2024,2024-04-03,2024-04-03,1,0,2024-05-27 18:05:51
51,10,2024,2024-04-08,2024-04-08,1,0,2024-05-27 18:05:51
44,5,2024,2024-04-08,2024-04-08,1,0,2024-05-27 18:05:51
22,38,2024,2024-04-15,2024-04-30,12,0,2024-05-27 18:05:51
58,4,2024,2024-04-16,2024-04-16,1,0,2024-05-27 18:05:51
60,56,2024,2024-04-29,2024-04-29,1,0,2024-05-27 18:05:51
61,56,2024,2024-04-30,2024-04-30,1,0,2024-05-27 18:05:51
59,10,2024,2024-04-30,2024-04-30,1,0,2024-05-27 18:05:51
65,3,2024,2024-05-03,2024-05-06,2,0,2024-05-27 18:05:51
77,10,2024,2024-05-13,2024-05-13,1,0,2024-05-31 16:20:19
66,47,2024,2024-05-16,2024-05-17,2,0,2024-05-27 18:05:51
76,50,2024,2024-05-31,2024-05-31,1,0,2024-05-31 09:14:18
75,2,2024,2024-05-31,2024-05-31,1,0,2024-05-31 08:45:11
74,47,2024,2024-05-31,2024-05-31,1,0,2024-05-31 08:04:37
73,4,2024,2024-05-31,2024-05-31,1,0,2024-05-31 07:39:19
56,10,2024,2024-06-19,2024-06-26,6,0,2024-05-27 18:05:51
45,5,2024,2024-07-05,2024-07-08,2,0,2024-05-27 18:05:51
46,5,2024,2024-07-12,2024-07-15,2,0,2024-05-27 18:05:51
32,33,2024,2024-07-17,2024-07-30,10,0,2024-05-27 18:05:51
41,3,2024,2024-07-18,2024-08-02,12,0,2024-05-27 18:05:51
47,5,2024,2024-07-19,2024-07-22,2,0,2024-05-27 18:05:51
5,13,2024,2024-07-22,2024-07-26,5,0,2024-05-27 18:05:51
48,5,2024,2024-07-26,2024-07-29,2,0,2024-05-27 18:05:51
71,38,2024,2024-08-22,2024-08-24,2,0,2024-05-28 09:07:41
72,38,2024,2024-08-26,2024-08-26,1,0,2024-05-28 09:11:16
49,5,2024,2024-12-17,2024-12-17,1,0,2024-05-27 18:05:51
50,5,2024,2024-12-24,2024-12-31,6,0,2024-05-27 18:05:51
