id,entrada,primeiro,segundo,atraso,saida,usuario,fechado,cliente_id,tipo_receita,atrasoautorizado,over_10_hours_authorization
7568,2024-05-15 15:11:01,0,0,0,2024-05-15 15:24:06,2,1,2136,21,0,1
7569,2024-05-15 15:11:03,0,0,0,2024-05-15 16:38:00,9,1,2377,5,0,0
7570,2024-05-15 15:24:05,0,0,0,2024-05-15 15:37:01,38,1,2424,6,0,0
7571,2024-05-15 15:24:13,0,0,0,2024-05-15 15:48:00,2,1,2381,21,0,1
7572,2024-05-15 15:31:09,0,0,0,2024-05-15 16:04:05,50,1,83,15,0,0
7573,2024-05-15 15:32:52,0,0,0,2024-05-15 15:41:44,67,1,83,21,0,0
7574,2024-05-15 15:34:52,0,0,0,2024-05-15 18:42:17,4,1,2844,5,0,0
7575,2024-05-15 15:37:06,0,0,0,2024-05-15 15:46:35,38,1,57,6,0,0
7576,2024-05-15 15:41:50,0,0,0,2024-05-15 16:18:33,67,1,2493,1,0,0
7577,2024-05-15 15:46:40,0,0,0,2024-05-15 16:12:42,38,1,2623,6,0,0
7578,2024-05-15 15:48:11,0,0,0,2024-05-15 16:04:43,2,1,2410,21,0,1
7579,2024-05-15 15:50:41,0,0,0,2024-05-15 17:57:40,3,1,41,1,0,1
7580,2024-05-15 15:52:26,0,0,0,2024-05-15 16:00:58,58,1,2811,21,0,0
7581,2024-05-15 15:52:33,0,0,0,2024-05-15 17:29:30,56,1,2611,5,0,0
7582,2024-05-15 15:53:03,0,0,0,2024-05-15 16:08:34,11,1,2865,21,0,0
7583,2024-05-15 16:00:00,0,0,0,2024-05-15 17:01:47,58,1,74,21,0,0
7584,2024-05-15 16:04:12,0,0,0,2024-05-15 16:35:08,50,1,2562,15,0,0
7585,2024-05-15 16:04:50,0,0,0,2024-05-15 16:22:46,2,1,2466,21,0,1
7586,2024-05-15 16:12:48,0,0,0,2024-05-15 16:14:54,38,1,2746,6,0,0
7587,2024-05-15 16:16:29,0,0,0,2024-05-15 16:18:48,10,1,83,1,0,0
7588,2024-05-15 16:18:00,0,0,0,2024-05-15 16:46:46,55,1,83,1,0,0
7589,2024-05-15 16:22:51,0,0,0,2024-05-15 16:57:53,2,1,2603,21,0,1
7590,2024-05-15 16:27:13,0,0,0,2024-05-15 18:16:06,5,1,83,1,0,0
7591,2024-05-15 16:28:47,0,0,0,2024-05-15 16:40:29,11,1,83,21,0,0
7592,2024-05-15 16:29:14,0,0,0,2024-05-15 17:09:57,10,1,83,7,0,0
7593,2024-05-15 16:35:16,0,0,0,2024-05-15 17:20:24,50,1,2556,15,0,0
7595,2024-05-15 16:40:36,0,0,0,2024-05-15 17:00:13,9,1,83,5,0,0
7594,2024-05-15 16:40:36,0,0,0,2024-05-15 18:30:34,11,1,17,21,0,0
7596,2024-05-15 16:46:46,0,0,0,2024-05-15 17:02:27,55,1,23,1,0,0
7597,2024-05-15 17:00:16,0,0,0,2024-05-15 17:36:39,61,1,16,5,0,0
7598,2024-05-15 17:10:07,0,0,0,2024-05-15 17:40:41,10,1,83,4,0,0
7599,2024-05-15 17:20:29,0,0,0,2024-05-15 17:37:52,50,1,2180,15,0,0
7601,2024-05-15 17:21:00,0,0,0,2024-05-15 17:29:00,58,1,83,21,0,0
7600,2024-05-15 17:22:51,0,0,0,2024-05-15 17:49:46,2,1,2381,21,0,1
7605,2024-05-15 17:29:00,0,0,0,2024-05-15 17:51:33,58,1,2857,21,0,0
7602,2024-05-15 17:36:47,0,0,0,2024-05-15 18:02:05,61,1,83,5,0,0
7603,2024-05-15 17:37:58,0,0,0,2024-05-15 18:09:23,50,1,2136,15,0,0
7604,2024-05-15 17:40:41,0,0,0,2024-05-15 17:44:53,9,1,83,5,0,0
7606,2024-05-15 17:45:02,0,0,0,2024-05-15 18:32:34,9,1,2593,7,0,0
7607,2024-05-15 17:49:57,0,0,0,2024-05-15 18:07:49,2,1,2760,21,0,1
7608,2024-05-15 17:51:40,0,0,0,2024-05-15 17:54:08,56,1,83,5,0,0
